rank,original_hotspot_rank,cell_id,lon,lat,forest_region,loss_pct,gain_ratio,rank_score,l30_clear,s30_clear,hls_clear
1,9,5.0_-15.0,-12.499999999999961,7.498733781403792,Guinean forests of West Africa,22.144218960429,8.222222222222,0.826263892411,9,65,74
2,10,-40.0_145.0,147.5,-37.481963097884396,Southeast Australian forests,26.8004195316,4.87619047619,0.59305019305,105,407,512
3,40,-20.0_45.0,47.499999999999986,-17.49633788191137,Madagascar dry forests,19.287533629146,4.819672131148,0.421855182615,122,466,588
4,30,60.0_-120.0,-117.50000000000007,62.43851972413156,Western Canadian boreal forest,21.406847325055,4.040540540541,0.392519626994,74,225,299
5,80,50.0_5.0,7.500000000000049,52.46247838627722,Central European mixed forests,20.854928955154,3.394904458599,0.321296110779,157,376,533
6,91,65.0_150.0,152.5,67.42045682140566,Russian Far East taiga,22.318545358697,3.109756097561,0.314964357849,82,173,255
7,41,10.0_-15.0,-12.499999999999945,12.497687944083436,Guinean forests of West Africa,24.819838528044,2.54128440367,0.28623413208,109,168,277
8,14,20.0_105.0,107.50000000000003,22.493268319499805,Indochina forests,18.508494282895,3.28,0.275495259372,25,57,82
9,3,5.0_-5.0,-2.499999999999992,7.498733781403757,Guinean forests of West Africa,24.121856115726,2.516129032258,0.275431006209,31,47,78
10,81,40.0_-10.0,-7.500000000000029,42.476854411925956,Iberian mixed forests,18.337950248415,3.305882352941,0.275110636414,85,196,281
11,76,50.0_10.0,12.49999999999991,52.4624783862772,Central European mixed forests,17.773525319927,3.30303030303,0.2664129506,198,456,654
12,97,5.0_0.0,2.499999999999991,7.498733781403757,Guinean forests of West Africa,21.113090498186,2.774193548387,0.265801705887,31,55,86
13,1,5.0_-10.0,-7.500000000000044,7.498733781403786,Guinean forests of West Africa,21.105833383476,2.727272727273,0.261216299117,77,133,210
14,16,-20.0_35.0,37.50000000000001,-17.49633788191136,Zambezian miombo woodlands,18.368584607597,3.077419354839,0.256526107398,155,322,477
15,2,-20.0_-60.0,-57.500000000000014,-17.496337881911344,Chiquitano dry forests,21.676925484957,2.607142857143,0.256467129325,28,45,73
16,59,60.0_-125.0,-122.50000000000001,62.43851972413156,Western Canadian boreal forest,13.947347508458,3.753424657534,0.237568317376,73,201,274
17,7,55.0_-125.0,-122.50000000000001,57.452181777122675,Western Canadian boreal forest,18.483278622618,2.828125,0.23721754573,64,117,181
18,70,5.0_5.0,7.500000000000043,7.498733781403784,Guinean forests of West Africa,14.899393872496,3.428571428571,0.23182005258,21,51,72
19,99,60.0_-115.0,-112.49999999999997,62.43851972413156,Western Canadian boreal forest,17.066340850498,2.96261682243,0.229448433443,107,210,317
20,64,55.0_10.0,12.499999999999908,57.45218177712268,Fennoscandian taiga,17.259800166319,2.897727272727,0.226966870064,88,167,255
21,28,60.0_25.0,27.499999999999986,62.43851972413156,Fennoscandian taiga,16.63108345317,2.924242424242,0.220700396549,66,127,193
22,6,-15.0_25.0,27.499999999999943,-12.497687944083436,Southern Congo forests,15.377947509625,3.060344827586,0.213568862829,116,239,355
23,52,10.0_105.0,107.5,12.497687944083419,Indochina forests,13.010931196803,3.606060606061,0.212917127798,33,86,119
24,100,50.0_15.0,17.50000000000005,52.462478386277226,Central European mixed forests,14.579365557934,3.188118811881,0.210931927164,101,221,322
25,31,30.0_-90.0,-87.50000000000003,32.486090514537416,Southeastern US pine forests,10.894075642932,4.222222222222,0.208737592831,18,58,76
26,94,-20.0_30.0,32.50000000000003,-17.496337881911344,Zambezian miombo woodlands,16.493838622309,2.787878787879,0.208672310977,132,236,368
27,15,20.0_100.0,102.49999999999994,22.493268319499823,Indochina forests,12.526779571537,3.626666666667,0.20616563369,75,197,272
28,17,60.0_120.0,122.50000000000001,62.43851972413156,East Siberian taiga,17.444933922757,2.541666666667,0.201213501786,72,111,183
29,51,50.0_-80.0,-77.50000000000007,52.4624783862772,Eastern Canadian boreal forest,13.850983687402,3.2,0.201140624102,130,286,416
30,5,-15.0_-65.0,-62.50000000000004,-12.497687944083433,Chiquitano dry forests,14.379883127732,3.0625,0.199848388638,80,165,245
31,48,60.0_130.0,132.50000000000006,62.438519724131545,East Siberian taiga,14.93131995055,2.931034482759,0.198604153439,116,224,340
32,20,15.0_100.0,102.49999999999991,17.496337881911355,Indochina forests,15.141142795836,2.8828125,0.198081651842,128,241,369
